TIME,FSP_X
1.348,0.0687788
1.349,0.0688129
1.35,0.0688245
1.351,0.0688193
1.352,0.0688141
1.353,0.0688456
1.354,0.0688771
1.355,0.0688472
1.356,0.0688141
1.357,0.0688371
1.358,0.0688571
1.359,0.0688793
1.36,0.0689248
1.361,0.0689538
1.362,0.0689768
1.363,0.0689591
1.364,0.0689242
1.365,0.0689136
1.366,0.068881
1.367,0.0688598
1.368,0.0688623
1.369,0.0688311
1.37,0.0688023
1.371,0.0688277
1.372,0.0688817
1.373,0.0688967
1.374,0.0689215
1.375,0.0689353
1.376,0.0688647
1.377,0.068785
1.378,0.0687861
1.379,0.0688104
1.38,0.0688191
1.381,0.0688308
1.382,0.0688121
1.383,0.0687385
1.384,0.068721
1.385,0.068766
1.386,0.0688108
1.387,0.068767
1.388,0.0686709
1.389,0.0686401
1.39,0.0686164
1.391,0.0686024
1.392,0.0685906
1.393,0.0685914
1.394,0.0685937
1.395,0.0685532
1.396,0.0685146
1.397,0.0684749
1.398,0.0684748
1.399,0.0685307
1.4,0.0685611
1.401,0.0685798
1.402,0.0685684
1.403,0.0685473
1.404,0.0685408
